"X","id","instrument_id","date_of_test","data_id","age","gender","mom_ed","birth_order","productive","ageC","birth_orderC","mom_edC","genderContrast","birth_orderSplit","genderContrastC"
66,5646,4,"1989-04-29",5646,24,"M",15,3,222,1.08325872873769,1.41181736794987,0.0188003581020588,0.5,"Late",0.504923903312444
67,5647,4,"1989-04-30",5647,16,"F",15,2,291,-6.91674127126231,0.411817367949866,0.0188003581020588,-0.5,"Late",-0.495076096687556
68,5648,4,"1989-05-01",5648,16,"F",18,1,58,-6.91674127126231,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
69,5649,4,"1989-04-25",5649,26,"M",18,2,64,3.08325872873769,0.411817367949866,3.01880035810206,0.5,"Late",0.504923903312444
70,5650,4,"1989-04-28",5650,20,"M",13,1,47,-2.91674127126231,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
71,5651,4,"1989-04-26",5651,24,"F",17,2,150,1.08325872873769,0.411817367949866,2.01880035810206,-0.5,"Late",-0.495076096687556
72,5652,4,"1989-04-30",5652,20,"M",16,2,99,-2.91674127126231,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
73,5653,4,"1989-04-29",5653,23,"F",12,1,379,0.0832587287376896,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
74,5654,4,"1989-04-28",5654,17,"F",16,1,131,-5.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
75,5655,4,"1989-04-29",5655,20,"M",12,1,205,-2.91674127126231,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
76,5656,4,"1989-04-26",5656,26,"M",14,1,610,3.08325872873769,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
77,5657,4,"1989-04-28",5657,17,"F",16,4,14,-5.91674127126231,2.41181736794987,1.01880035810206,-0.5,"Late",-0.495076096687556
78,5658,4,"1989-04-27",5658,17,"M",12,3,7,-5.91674127126231,1.41181736794987,-2.98119964189794,0.5,"Late",0.504923903312444
79,5659,4,"1989-04-27",5659,22,"F",18,2,410,-0.91674127126231,0.411817367949866,3.01880035810206,-0.5,"Late",-0.495076096687556
80,5660,4,"1989-04-28",5660,27,"M",18,3,612,4.08325872873769,1.41181736794987,3.01880035810206,0.5,"Late",0.504923903312444
81,5661,4,"1989-04-28",5661,25,"M",17,2,66,2.08325872873769,0.411817367949866,2.01880035810206,0.5,"Late",0.504923903312444
82,5662,4,"1989-04-10",5662,20,"F",15,1,159,-2.91674127126231,-0.588182632050134,0.0188003581020588,-0.5,"Early",-0.495076096687556
83,5663,4,"1989-04-13",5663,22,"M",17,1,100,-0.91674127126231,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
84,5664,4,"1989-04-26",5664,22,"M",16,1,8,-0.91674127126231,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
85,5665,4,"1989-04-27",5665,24,"M",15,2,218,1.08325872873769,0.411817367949866,0.0188003581020588,0.5,"Late",0.504923903312444
86,5666,4,"1989-04-27",5666,20,"F",16,2,5,-2.91674127126231,0.411817367949866,1.01880035810206,-0.5,"Late",-0.495076096687556
87,5667,4,"1989-05-02",5667,21,"M",15,1,59,-1.91674127126231,-0.588182632050134,0.0188003581020588,0.5,"Early",0.504923903312444
88,5668,4,"1989-04-28",5668,26,"F",16,1,141,3.08325872873769,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
89,5669,4,"1989-05-05",5669,18,"F",16,1,119,-4.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
90,5670,4,"1989-05-09",5670,23,"M",13,1,159,0.0832587287376896,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
91,5671,4,"1989-05-14",5671,25,"F",18,1,473,2.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
92,5672,4,"1989-04-28",5672,21,"F",18,1,327,-1.91674127126231,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
93,5673,4,"1989-05-15",5673,30,"M",16,1,629,7.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
94,5674,4,"1989-05-16",5674,25,"F",18,1,451,2.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
95,5675,4,"1989-05-10",5675,22,"M",16,2,67,-0.91674127126231,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
96,5676,4,"1989-05-15",5676,30,"M",14,1,644,7.08325872873769,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
97,5677,4,"1989-04-28",5677,22,"M",12,1,568,-0.91674127126231,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
98,5678,4,"1989-05-15",5678,26,"F",15,2,243,3.08325872873769,0.411817367949866,0.0188003581020588,-0.5,"Late",-0.495076096687556
99,5679,4,"1989-05-15",5679,26,"F",15,3,239,3.08325872873769,1.41181736794987,0.0188003581020588,-0.5,"Late",-0.495076096687556
100,5680,4,"1989-04-28",5680,29,"F",18,1,640,6.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
101,5681,4,"1989-04-28",5681,27,"M",13,1,366,4.08325872873769,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
102,5682,4,"1989-04-28",5682,20,"M",16,1,65,-2.91674127126231,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
103,5683,4,"1989-05-10",5683,24,"F",12,3,128,1.08325872873769,1.41181736794987,-2.98119964189794,-0.5,"Late",-0.495076096687556
104,5684,4,"1989-05-25",5684,26,"F",14,1,351,3.08325872873769,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
105,5685,4,"1989-05-09",5685,25,"M",16,1,301,2.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
106,5686,4,"1989-05-07",5686,22,"F",14,3,377,-0.91674127126231,1.41181736794987,-0.981199641897941,-0.5,"Late",-0.495076096687556
107,5687,4,"1989-05-09",5687,29,"M",12,2,106,6.08325872873769,0.411817367949866,-2.98119964189794,0.5,"Late",0.504923903312444
108,5688,4,"1989-05-04",5688,29,"M",17,1,490,6.08325872873769,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
109,5689,4,"1989-05-03",5689,30,"M",15,1,581,7.08325872873769,-0.588182632050134,0.0188003581020588,0.5,"Early",0.504923903312444
